movie_id,movie_name,year,genre,overview,director,cast
tt2186933,Luv Shuv Tey Chicken Khurana,2012,comedy,a fugitive frantically looks for a much-coveted chicken curry recipe with which his family can reclaim their pride and wealth.,Sameer Sharma,"Kunal Kapoor, Huma Qureshi, Vinod Nagpal, Rajesh Sharma"
tt0215911,Koshish,1972,drama,a speech and hearing-impaired couple persists through unforgiving obstacles to be accepted by society and live a life of dignity.,Gulzar,"Sanjeev Kumar, Jaya Bachchan, Govardhan Asrani, Seema Deo"
tt1736647,Sakthi,2011,"action, adventure, fantasy","while on a trip, a guide starts protecting the central minister's daughter from some egyptians who want her and a holy diamond in their custody.",Meher Ramesh,"N.T. Rama Rao Jr., Ileana D'Cruz, Pooja Bedi, Sonu Sood"
tt0368811,Jajantaram Mamantaram,2003,"action, adventure, comedy","a young man lands in the land of little people, who ask him to save them from their enemies.",Soumitra Ranade,"Jaaved Jaaferi, Gulshan Grover, Manav Kaul, Joy Fernandes"
tt2094854,Inkaar,2013,"drama, romance, thriller","at a leading ad agency, the battle for the top job between rahul verma, the advertising ceo, and maya luthra, his ambitious protégée, takes an ugly turn when maya files a sexual harassment complaint against rahul.","Sudhir Mishra, Jay Dev Banerjee","Arjun Rampal, Chitrangda Singh, Vipin Sharma, Mithun Rodwittiya"
tt0115042,Zamaana Deewana,1995,"action, comedy, drama",a police commissioner enlists the aid of an eccentric inspector to end a gang war between bitter enemies.,Ramesh Sippy,"Jeetendra, Shatrughan Sinha, Shah Rukh Khan, Raveena Tandon"
tt0203289,American Desi,2001,"comedy, drama, romance","college freshman krishna reddy, who has never cared for his indian-american cultural heritage, looks forward to a new life on campus but is surprised to find that he has been assigned ... see full summary »",Piyush Dinker Pandya,"Deep Katdare, Ronobir Lahiri, Purva Bedi, Rizwan Manji"
tt9817760,Jai Mummy Di,2020,"comedy, drama, romance",jai mummy di is a light-hearted family comedy that portrays the trials and tribulations a couple has to undergo due to the dynamics between their respective mothers.,Navjot Gulati,"Poonam Dhillon, Supriya Pathak, Sunny Singh, Sonnalli Seygall"
tt12631534,Rosie: The Saffron Chapter,2022,"horror, mystery, thriller",a film based on true events in gurugram.,Vishal Mishra,"Arbaaz Khan, Tanishaa Mukerji, Shivin Narang, Vivek Oberoi"
tt27510174,Stree 2,2024,"comedy, horror",add a plot,Amar Kaushik,"Shraddha Kapoor, Rajkummar Rao, Pankaj Tripathi, Varun Dhawan"
tt0214178,Sooryavansham,1999,"action, drama","heera fails to live up to expectations of his father thakur bhanupratap singh, a powerful and respected man of his community. despite all odds heera struggles to keep his father's pride.","E.V.V. Satyanarayana, Pranavanand","Amitabh Bachchan, Soundarya, Jayasudha, Mukesh Rishi"
tt8130558,One Day: Justice Delivered,2019,"action, crime, thriller",a crime branch special officer investigates the serial disappearance of high profile individuals in a state capital.,Ashok Nanda,"Anupam Kher, Kumud Mishra, Esha Gupta, Zakir Hussain"
tt0248216,Na Tum Jaano Na Hum,2002,"comedy, drama, musical",a romantically inclined couple decide to get to know each other through letters without disclosing their identities.,Arjun Sablok,"Hrithik Roshan, Saif Ali Khan, Esha Deol, Alok Nath"
tt4949324,Mohalla Assi,2015,"comedy, drama",a sanskrit priest decides to take matters in n his hand when the locals of holy town banaras stars to lure foreign tourists with fake spiritual gurus.,Chandra Prakash Dwivedi,"Sunny Deol, Sakshi Tanwar, Ravi Kishan, Saurabh Shukla"
tt5207116,X: Past Is Present,2015,"drama, mystery, romance",a filmmaker with a mid-life crisis meets a mysterious young girl who reminds of every woman in his past.,"Hemant Gaba, Pratim D. Gupta, Sudhish Kamath, Nalan Kumarasamy, Anu Menon, Sandeep Mohan, Qaushiq Mukherjee, Rajshree Ojha, Raja Sen, Abhinav Shiv Tiwari, Suparn Varma","Rajat Kapoor, Radhika Apte, Bidita Bag, Piaa Bajpai"
tt15260176,Despatch,2023,drama,"news has turned digital, leaving veteran crime journalist joy at the cusp of irrelevance. determined to break the next big story and refashion his complicated personal life, joy embarks on ... see full summary »",Kanu Behl,"Manoj Bajpayee, Shahana Goswami, Nikhil Vijay, Ajay Purkar"
tt1273218,Kuselan,2008,"comedy, drama, family","story related to old friends ,after one being a popular actor and other being a barber and managing family.",P. Vasu,"Rajinikanth, Pasupathy, Meena, Nayanthara"
tt0431873,Lagaam,1976,action,"bhima, a strong and brave youth, according to an oath given to his mother renounces violence. this makes him suffer humiliation and indignity at the hands of sambha - a gang leader. finding... see full summary »",Desh Gautam,"Vinod Khanna, Yogeeta Bali, Bindu Desai, Prem Chopra"
